Site,Target Name,Number of Selections,Last Target Time (UTC),TCCON Data Return,OCO-2 Data Return
"Los Angeles, United States",losAngelesCA,30,1/1/99 0:00,-,-
"New York, United States",newYorkNY,3,12/1/00 0:00,-,-
